type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.5,0.12000000000000001,nan,330,387,-1,0,H(~p|p),144,0.04361449578905929,0.6037191625393489,0.03474192750047905,0.6793176156864411
early_mid_vs_improvement,0.5,0.12000000000000001,nan,330,387,-1,1,H(p|~p),144,0.3442440284256599,2.3916468347616514e-05,0.26700091433823336,0.001216326084053824
early_mid_vs_improvement,0.5,0.11000000000000001,nan,330,390,-1,0,H(~p|p),144,0.06804224310201512,0.41775030427916265,0.07228925358903474,0.38921717014717827
early_mid_vs_improvement,0.5,0.11000000000000001,nan,330,390,-1,1,H(p|~p),144,0.37632249889592345,3.342593470943983e-06,0.29983019684614504,0.00026125240064365254
early_mid_vs_improvement,0.5,0.1,nan,330,394,-1,0,H(~p|p),144,0.10011816276631852,0.23249771253028098,0.1143059252792254,0.17250709417540477
early_mid_vs_improvement,0.5,0.1,nan,330,394,-1,1,H(p|~p),144,0.4156560895614052,2.2097804694180113e-07,0.33762697561160454,3.497354464011947e-05
early_mid_vs_improvement,0.5,0.09000000000000001,nan,330,397,-1,0,H(~p|p),144,0.12522635665521928,0.13478062570965205,0.15205823034771215,0.0688518660132006
early_mid_vs_improvement,0.5,0.09000000000000001,nan,330,397,-1,1,H(p|~p),144,0.44382322730767587,2.522854772103217e-08,0.36885267316258935,5.387304818351386e-06
early_mid_vs_improvement,0.5,0.08000000000000002,nan,330,401,-1,0,H(~p|p),144,0.16088460651870057,0.05405977838586641,0.19910291583974216,0.01673786206603376
early_mid_vs_improvement,0.5,0.08000000000000002,nan,330,401,-1,1,H(p|~p),144,0.4810596419343057,1.040684756987315e-09,0.4088719644122106,3.6207105967764625e-07
early_mid_vs_improvement,0.5,0.07,nan,330,406,-1,0,H(~p|p),144,0.20859343073115622,0.012108435576654074,0.26582558340515783,0.0012808024377626156
early_mid_vs_improvement,0.5,0.07,nan,330,406,-1,1,H(p|~p),144,0.525569805709944,1.3450464513300736e-11,0.46046399471814947,6.361577241037186e-09
early_mid_vs_improvement,0.5,0.06,nan,330,411,-1,0,H(~p|p),144,0.25807182327750866,0.0017904930921644432,0.33646294756768896,3.735835477537375e-05
