type,initial_threshold,final_threshold,late_threshold,step_initial,step_final,step_late,kl_index,kl_name,n,pearson_r,pearson_p,spearman_r,spearman_p
early_mid_vs_improvement,0.5,0.2,nan,330,368,-1,0,H(~p|p),144,-0.12470685486456977,0.1364189715740168,-0.035495347881787924,0.6727585946869568
early_mid_vs_improvement,0.5,0.2,nan,330,368,-1,1,H(p|~p),144,0.13249080700962318,0.11341688844963274,0.13528612675452625,0.10593738234867651
early_mid_vs_improvement,0.5,0.19,nan,330,370,-1,0,H(~p|p),144,-0.11355338155176292,0.1753690986750362,-0.01784817039582541,0.8318509153616952
early_mid_vs_improvement,0.5,0.19,nan,330,370,-1,1,H(p|~p),144,0.1483823221784484,0.07591305250667221,0.1479707083361449,0.07673888003782711
early_mid_vs_improvement,0.5,0.18000000000000002,nan,330,372,-1,0,H(~p|p),144,-0.10181774314497316,0.22462446320984497,0.0011175205788377172,0.9893937340887806
early_mid_vs_improvement,0.5,0.18000000000000002,nan,330,372,-1,1,H(p|~p),144,0.16489212037824216,0.04826804820776006,0.16309896089419712,0.05079243469691029
early_mid_vs_improvement,0.5,0.17,nan,330,374,-1,0,H(~p|p),144,-0.08999584306487199,0.283398410715469,0.022229815830836608,0.79142119382128
early_mid_vs_improvement,0.5,0.17,nan,330,374,-1,1,H(p|~p),144,0.18171848294447127,0.029272370905354932,0.178295539778893,0.03251174623464694
early_mid_vs_improvement,0.5,0.16,nan,330,376,-1,0,H(~p|p),144,-0.07895658897512434,0.3468632405579995,0.03887202876748463,0.6436698838862172
early_mid_vs_improvement,0.5,0.16,nan,330,376,-1,1,H(p|~p),144,0.19710817976870598,0.017886316824121007,0.19337958118441104,0.02021701502962256
early_mid_vs_improvement,0.5,0.15000000000000002,nan,330,379,-1,0,H(~p|p),144,-0.06087231015711013,0.4685907637350103,0.06640001770230725,0.4291021864881174
early_mid_vs_improvement,0.5,0.15000000000000002,nan,330,379,-1,1,H(p|~p),144,0.22234408711700382,0.0073955108772837085,0.2146612223360812,0.009775365959854121
early_mid_vs_improvement,0.5,0.14,nan,330,381,-1,0,H(~p|p),144,-0.04716006265708721,0.5745923820433043,0.08633851436070679,0.3035006953254596
early_mid_vs_improvement,0.5,0.14,nan,330,381,-1,1,H(p|~p),144,0.24182754258979564,0.0034990934624943458,0.2298135900682429,0.005589887886743912
early_mid_vs_improvement,0.5,0.13,nan,330,384,-1,0,H(~p|p),144,-0.02682877106487172,0.7495772581783565,0.11474283238253166,0.1708614276213451
